"","beta","lnlike_t1","lnlike_t2","lnlike_t2.1"
"1",1e-05,-856742.55519283,-362554.903080692,-648926.973057545
"2",2e-05,-768173.892111988,-343056.765589157,-615204.894044564
"3",3e-05,-700392.092808856,-328203.315642421,-587813.135788663
"4",4e-05,-643779.286452362,-315001.105205263,-564482.776910085
"5",5e-05,-595334.193193238,-303984.58186353,-542757.980540687
"6",6e-05,-553388.456828203,-294919.729968663,-523356.70511616
"7",7e-05,-516210.123015739,-285720.708893917,-507269.030486347
"8",8e-05,-481040.527502055,-278261.69585054,-491701.244408865
"9",9e-05,-448125.465415932,-271286.026583847,-476404.951162111
"10",1e-04,-418976.452261775,-264805.518285008,-461710.215111972
"11",0.00011,-394142.110646387,-258566.773667197,-448564.753571452
"12",0.00012,-369292.274110342,-253467.372250398,-436156.87292274
"13",0.00013,-345893.060535308,-248644.248091971,-424469.25015318
"14",0.00014,-323257.641833161,-244288.078444591,-412508.277268791
"15",0.00015,-303336.145164457,-239869.176401757,-403239.518215266
"16",0.00016,-285537.126055543,-236177.547951998,-391158.130231311
"17",0.00017,-268514.325103757,-231912.678037742,-382914.054707459
"18",0.00018,-253805.233559018,-229063.882880549,-372586.942119185
"19",0.00019,-237943.270751417,-225922.082377786,-364468.12318477
"20",2e-04,-222344.26659599,-223354.86703393,-356209.652763373
"21",0.00021,-209450.115511132,-220857.303131542,-347171.56860557
"22",0.00022,-195801.142505499,-219027.054721303,-337948.098945209
"23",0.00023,-183666.573511649,-217059.690928206,-330798.041975085
"24",0.00024,-170787.825418044,-214493.048154082,-323007.718459807
"25",0.00025,-156580.400367277,-213548.884625999,-315101.338072141
"26",0.00026,-141009.637747703,-212778.628835612,-306824.86469768
"27",0.00027,-125299.291513082,-211477.517412011,-300470.091534616
"28",0.00028,-108172.365043815,-210418.162575295,-294696.00320122
"29",0.00029,-90523.3635467975,-210021.292581878,-287543.53942522
"30",3e-04,-74166.0685932855,-209223.321487279,-282595.332457653
"31",0.00031,-58573.2707027371,-209793.343339791,-274053.532027006
"32",0.00032,-45970.1141119393,-210017.521367656,-269096.730322106
"33",0.00033,-34282.9359252595,-209737.332685164,-263451.335786616
"34",0.00034,-26016.0381880518,-209949.524946798,-256807.127116396
"35",0.00035,-19338.7165897024,-211011.054707911,-252529.59043807
"36",0.00036,-12929.4177625692,-212283.746148185,-245340.485330893
"37",0.00037,-7915.42662984847,-213040.851577781,-239102.692403432
"38",0.00038,-4136.44531572032,-214355.7820427,-234971.571435433
"39",0.00039,-1741.18816850584,-215477.386276068,-228761.577028415
"40",4e-04,-774.994257568059,-217049.900264463,-224561.041870285
"41",0.00041,-1212.05337665637,-218831.276511606,-217611.506364612
"42",0.00042,-3004.9425808347,-220466.599109836,-212156.894522722
"43",0.00043,-5559.75014834753,-221998.27201587,-208807.603260632
"44",0.00044,-5128.69162224213,-223961.314379973,-203964.012710528
"45",0.00045,-5142.19583219485,-226311.6612232,-198407.662244542
"46",0.00046,-4777.61216161114,-228568.904184189,-192290.697271398
"47",0.00047,-4764.17144089371,-230964.13627763,-186932.646941815
"48",0.00048,-4556.24716954593,-233182.677592157,-182225.760479556
"49",0.00049,-4624.55768091058,-236170.92265767,-177724.202136003
"50",5e-04,-4208.7858035587,-238843.824795785,-172254.459467261
"51",0.00051,-3945.66223064486,-241673.620420109,-166903.818543246
"52",0.00052,-3511.84453096125,-244375.905917335,-162686.524084277
"53",0.00053,-3418.98155069152,-247852.495255357,-157441.169878719
"54",0.00054,-3983.97032248939,-250975.121490825,-152955.490603596
"55",0.00055,-4419.97277878935,-254479.20361283,-150577.432296812
"56",0.00056,-4581.95697075365,-257821.814788456,-143981.43519615
"57",0.00057,-4261.30641964826,-261331.031681373,-140414.657690861
"58",0.00058,-3492.31628479116,-265021.481728866,-136695.579669674
"59",0.00059,-4207.19850520084,-268931.648329126,-132923.182711952
"60",6e-04,-3417.60012800715,-272834.497313054,-127892.305964598
"61",0.00061,-3431.47828647966,-276833.488980051,-122387.036898472
"62",0.00062,-4363.45280461694,-280983.031996056,-118705.189504524
"63",0.00063,-6278.41018791045,-285282.927647854,-116442.682269759
"64",0.00064,-9245.25479153051,-289733.226303879,-112677.275645205
"65",0.00065,-13336.817302332,-294333.530790498,-108195.639032712
"66",0.00066,-18629.7336548862,-299083.86739732,-105597.640460681
"67",0.00067,-25204.2400960645,-303983.9379554,-101870.687824029
"68",0.00068,-33143.83696114,-309033.442562628,-96911.4351597747
"69",0.00069,-42534.8889110644,-314231.98990359,-93645.6704601627
"70",7e-04,-53466.0861646911,-319579.397061472,-89548.9409347613
"71",0.00071,-66027.852326528,-325075.239486477,-88893.7934262601
"72",0.00072,-80311.4416416852,-330718.920203477,-86334.9393604528
"73",0.00073,-96408.0959850415,-336510.030307643,-82084.8188986626
"74",0.00074,-114407.940042466,-342448.239978248,-78738.2013404377
"75",0.00075,-134398.723099502,-348532.578783539,-75824.917301526
"76",0.00076,-156464.532802094,-354762.610038926,-74875.2852127785
"77",0.00077,-180684.082925418,-361137.5797987,-70615.2959785938
"78",0.00078,-207129.364026215,-367656.681015517,-69095.0613332137
"79",0.00079,-235864.021007907,-374319.046671925,-67428.0021290669
"80",8e-04,-266940.915071777,-381123.960548751,-65008.8704043805
"81",0.00081,-300401.30482915,-388070.245642819,-63745.981462198
"82",0.00082,-336272.360749297,-395156.838120025,-61323.2361661543
"83",0.00083,-374566.068813458,-402382.809086708,-59284.8681268075
"84",0.00084,-415277.505293749,-409746.82400074,-56017.1251348982
"85",0.00085,-458383.485077713,-417247.786402088,-55380.7067970109
"86",0.00086,-503841.676359094,-424884.066160683,-54551.3414814798
"87",0.00087,-551590.131912649,-432654.556232288,-52672.0879885553
"88",0.00088,-601546.934725019,-440557.699146678,-50072.6687030308
"89",0.00089,-653609.922780646,-448591.815491531,-48720.919980895
"90",9e-04,-707658.056261745,-456755.409029807,-46783.3781106246
"91",0.00091,-763551.871917368,-465046.767830974,-46045.3136944246
"92",0.00092,-821135.41807468,-473464.105118492,-44030.3692607293
"93",0.00093,-880237.583095219,-482005.468638368,-42415.0512152689
"94",0.00094,-940674.555990059,-490669.115205823,-41903.6312005573
"95",0.00095,-1002253.05105315,-499452.936760713,-40616.7843005286
"96",0.00096,-1064771.8789643,-508354.881460859,-39662.0203160457
"97",0.00097,-1128025.95678804,-517372.689460654,-38867.0116941519
"98",0.00098,-1191808.14098506,-526504.388774582,-37537.3595148017
"99",0.00099,-1255912.9527059,-535747.468197205,-35849.2727008473
"100",0.001,-1320139.19015148,-545099.776422364,-34886.208780337
